X,Y,Z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,synthetic,key_point,withheld,scan_angle_rank,user_data,point_source_id,cluster_id,x,y
585008.553,165539.472,10.822000000000001,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585008.553,165539.472
585013.555,165539.48,8.102,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585013.555,165539.48
585002.553,165538.468,8.358,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585002.553,165538.468
585005.486,165538.44,12.403,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585005.486,165538.44
585008.511,165538.434,12.769,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585008.511,165538.434
585010.533,165538.444,13.649000000000001,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585010.533,165538.444
585019.534,165538.44,8.162,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585019.534,165538.44
585002.534,165537.462,8.9,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585002.534,165537.462
585004.458,165537.398,13.128,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585004.458,165537.398
585007.577,165537.469,13.259,0,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([1 1 1 ... 1 1 1])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,<SubFieldView([0 0 0 ... 0 0 0])>,0,0,0,36,585007.577,165537.469
